threshold,auroc,auprc,ks,f1,demographic_parity_diff,equal_opportunity_diff,equalized_odds_diff,disparate_impact_ratio,passes_4_5_rule,selection_rate,n_per_group,data,method,protected_attr,elapsed_sec
0.47579801082611084,0.760497309387439,0.2458811511598461,0.3891528612844299,0.2704586420989385,0.16367415969674826,0.1357715535073346,0.15318263037315172,0.6216108095647072,False,"{'F': 0.2688809022183666, 'M': 0.43255506191511484}","{'F': 40345, 'M': 21158}",baseline_data,baseline,GENDER,20.0
0.07328466325998306,0.758087189761633,0.24283855050564043,0.3860987327294458,0.26104152933421226,0.03785088628070371,0.0056835271809883015,0.027337056344307942,0.9024663193366059,True,"{'F': 0.3502292725244764, 'M': 0.3880801588051801}","{'F': 40345, 'M': 21158}",baseline_data,reweighing,GENDER,24.2
0.09511019522260393,0.7088311733373488,0.1550850877078267,0.3860881631464826,0.264472190692395,0.09198596339486198,0.054854258501766284,0.08212919679987435,0.7752870322701201,False,"{'F': 0.31736274631304995, 'M': 0.40934870970791193}","{'F': 40345, 'M': 21158}",baseline_data,fairlearn_dp,GENDER,153.9
0.38582276104428553,0.6787734524422381,0.13458444939146763,0.35143579074534154,0.23020226259856016,0.21464396590466867,0.12772137576091547,0.21127002251753313,0.6588720025080013,False,"{'F': 0.4145742966910398, 'M': 0.6292182625957085}","{'F': 40345, 'M': 21158}",baseline_data,fairlearn_eo,GENDER,149.2
0.47579801082611084,0.760497309387439,0.2458811511598461,0.3891528612844299,0.2704586420989385,0.18502104983870477,0.18785434519817434,0.18785434519817434,0.5570441942670418,False,"{'old': 0.2326753601508894, 'young': 0.4176964099895942}","{'old': 30751, 'young': 30752}",baseline_data,baseline,AGE,19.9
0.0691855326294899,0.7566695546885434,0.24075729880741387,0.38369445718886075,0.25305476198671395,0.04076576247141833,0.02330703678258561,0.02792737582510285,0.9010631577996168,True,"{'old': 0.3712724789437742, 'young': 0.4120382414151925}","{'old': 30751, 'young': 30752}",baseline_data,reweighing,AGE,20.0
1.0,0.6856065791753139,0.13969115315242933,0.3712131583506278,0.2721554195729385,0.0028713798500533683,0.009758596506047712,0.016480811867280898,0.9904501620409917,True,"{'old': 0.30067314884068813, 'young': 0.29780176899063476}","{'old': 30751, 'young': 30752}",baseline_data,fairlearn_dp,AGE,149.9
0.5364963695418695,0.7225057218065103,0.17156928133624116,0.3431519629233137,0.27361532168808045,0.3802007331318312,0.508679019834986,0.508679019834986,0.14992489855532407,False,"{'old': 0.06705472992748203, 'young': 0.44725546305931324}","{'old': 30751, 'young': 30752}",baseline_data,fairlearn_eo,AGE,164.1
0.4718247950077057,0.7738965214672433,0.26273500706270825,0.4087431611645522,0.2820576747278318,0.1448166115603426,0.13263759045389312,0.13263759045389312,0.6429285785580086,False,"{'F': 0.2607510224315281, 'M': 0.4055676339918707}","{'F': 40345, 'M': 21158}",aux_data,baseline,GENDER,109.5
0.08517393469810486,0.7767001915171385,0.265802903147762,0.410303708256426,0.28833928415919186,0.04260820374173502,0.0179491361626386,0.030624088993328857,0.8671131523042999,True,"{'F': 0.2780270169785599, 'M': 0.32063522072029493}","{'F': 40345, 'M': 21158}",aux_data,reweighing,GENDER,142.2
0.4718247950077057,0.7738965214672433,0.26273500706270825,0.4087431611645522,0.2820576747278318,0.17178639842545834,0.1845093435581171,0.1845093435581171,0.5667014989846051,False,"{'old': 0.22467562030503074, 'young': 0.3964620187304891}","{'old': 30751, 'young': 30752}",aux_data,baseline,AGE,110.6
0.07499231398105621,0.7755106627926491,0.26172640031858097,0.4097222422606126,0.27643492638374934,0.060506567411612866,0.04227243480899889,0.04673689732176611,0.8331062910537341,True,"{'old': 0.30203895808266396, 'young': 0.3625455254942768}","{'old': 30751, 'young': 30752}",aux_data,reweighing,AGE,186.5
