dataset,mode,provider,metric,mean,std,n
german,fusion_friendly,anthropic,halluc_rate_strict,0.0,0.0,30
german,fusion_friendly,anthropic,val_match_rate,0.3237830687830688,0.2624902838881596,30
german,fusion_friendly,anthropic,entailment_rate,0.5004743244567369,0.0955704869999279,30
german,fusion_friendly,anthropic,contradiction_rate,0.14472191816379668,0.05883824369532208,30
german,fusion_friendly,anthropic,min_entailment,0.014459228515625,0.009622191787267972,30
german,fusion_friendly,anthropic,geval_factual_accuracy,4.133333333333334,1.3060425438846857,30
german,fusion_friendly,anthropic,geval_completeness,4.566666666666666,0.6260623155792927,30
german,fusion_friendly,anthropic,geval_sensitive_leak,4.966666666666667,0.18257418583505533,30
german,fusion_friendly,anthropic,geval_style,4.966666666666667,0.18257418583505533,30
german,fusion_friendly,gemini,halluc_rate_strict,0.0,0.0,30
german,fusion_friendly,gemini,val_match_rate,0.5577380952380953,0.36850961823667355,30
german,fusion_friendly,gemini,entailment_rate,0.582460098153645,0.08796674200680328,30
german,fusion_friendly,gemini,contradiction_rate,0.15497360283194858,0.08979850941295538,30
german,fusion_friendly,gemini,min_entailment,0.08228308359781901,0.11974434496928965,30
german,fusion_friendly,gemini,geval_factual_accuracy,3.7333333333333334,1.412587094253156,30
german,fusion_friendly,gemini,geval_completeness,3.933333333333333,0.6914918072835208,30
german,fusion_friendly,gemini,geval_sensitive_leak,5.0,0.0,30
german,fusion_friendly,gemini,geval_style,4.733333333333333,0.44977644510880366,30
home,fusion_friendly,anthropic,halluc_rate_strict,0.02222222222222222,0.12171612389003691,30
home,fusion_friendly,anthropic,val_match_rate,0.5023905723905723,0.1919782092859903,30
home,fusion_friendly,anthropic,entailment_rate,0.48085824917413716,0.08144660796282882,30
home,fusion_friendly,anthropic,contradiction_rate,0.19041171760187398,0.059903013303702034,30
home,fusion_friendly,anthropic,min_entailment,0.003000243504842122,0.0033647545423492074,30
home,fusion_friendly,anthropic,geval_factual_accuracy,4.633333333333334,0.889917986664224,30
home,fusion_friendly,anthropic,geval_completeness,4.8,0.4068381021724862,30
home,fusion_friendly,anthropic,geval_sensitive_leak,5.0,0.0,30
home,fusion_friendly,anthropic,geval_style,4.966666666666667,0.18257418583505533,30
home,fusion_friendly,gemini,halluc_rate_strict,0.03333333333333333,0.18257418583505533,30
home,fusion_friendly,gemini,val_match_rate,0.7134006734006736,0.20310141411872354,30
home,fusion_friendly,gemini,entailment_rate,0.5318982632403935,0.09921305650282813,30
home,fusion_friendly,gemini,contradiction_rate,0.19437290808716645,0.08624459168209733,30
home,fusion_friendly,gemini,min_entailment,0.03761097590128581,0.03730813369336963,30
home,fusion_friendly,gemini,geval_factual_accuracy,4.766666666666667,0.7279320417946061,30
home,fusion_friendly,gemini,geval_completeness,4.4,0.4982728791224398,30
home,fusion_friendly,gemini,geval_sensitive_leak,5.0,0.0,30
home,fusion_friendly,gemini,geval_style,4.966666666666667,0.18257418583505533,30
german,fusion,anthropic,halluc_rate_strict,0.0,0.0,30
german,fusion,anthropic,val_match_rate,0.6458862433862435,0.3176683514341835,30
german,fusion,anthropic,entailment_rate,0.7133238773055128,0.0979392835033415,30
german,fusion,anthropic,contradiction_rate,0.091950270029157,0.057477808824352,30
german,fusion,anthropic,min_entailment,0.1575057506561279,0.21389664061036,30
german,fusion,anthropic,geval_factual_accuracy,3.966666666666667,1.3256965204630418,30
german,fusion,anthropic,geval_completeness,4.166666666666667,0.791477593876918,30
german,fusion,anthropic,geval_sensitive_leak,5.0,0.0,30
german,fusion,anthropic,geval_style,4.9,0.3051285766293646,30
german,fusion,gemini,halluc_rate_strict,0.0,0.0,30
german,fusion,gemini,val_match_rate,0.744457671957672,0.2563637047312683,30
german,fusion,gemini,entailment_rate,0.7091333550115747,0.1054441664775297,30
german,fusion,gemini,contradiction_rate,0.1468731638743635,0.0813994481126531,30
german,fusion,gemini,min_entailment,0.115545654296875,0.1961724732406405,30
german,fusion,gemini,geval_factual_accuracy,2.966666666666667,1.217213701616236,30
german,fusion,gemini,geval_completeness,3.3666666666666667,0.4901325178535609,30
german,fusion,gemini,geval_sensitive_leak,5.0,0.0,30
german,fusion,gemini,geval_style,4.466666666666667,0.507416263404925,30
home,fusion,anthropic,halluc_rate_strict,0.0,0.0,30
home,fusion,anthropic,val_match_rate,0.9026936026936028,0.0746060554815326,30
home,fusion,anthropic,entailment_rate,0.625473052239739,0.1501059406640023,30
home,fusion,anthropic,contradiction_rate,0.1914238828989884,0.1149628542866175,30
home,fusion,anthropic,geval_factual_accuracy,4.9,0.4025778999364487,30
home,fusion,anthropic,geval_completeness,4.966666666666667,0.1825741858350553,30
home,fusion,anthropic,geval_sensitive_leak,5.0,0.0,30
home,fusion,anthropic,geval_style,5.0,0.0,30
home,fusion,gemini,halluc_rate_strict,0.0,0.0,30
home,fusion,gemini,val_match_rate,0.8608080808080807,0.0950522280808778,30
home,fusion,gemini,entailment_rate,0.6242387422935043,0.1166516086109425,30
home,fusion,gemini,contradiction_rate,0.1672846533507897,0.1090696379022639,30
home,fusion,gemini,geval_factual_accuracy,4.766666666666667,0.7738543627276672,30
home,fusion,gemini,geval_completeness,4.666666666666667,0.5466722735905339,30
home,fusion,gemini,geval_sensitive_leak,5.0,0.0,30
home,fusion,gemini,geval_style,4.933333333333334,0.2537081317024624,30
